漢字,解説・構成
粶,米（こめへん）に彔
肢,にくづきに支
瀣,氵（さんずい）に韰
瀣,氵（さんずい）に𣦼に韭
漐,水（みず）に執
漐,水（みず）に幸に丸
雖,隹（ふるとり）に虽
雖,隹（ふるとり）に口に虫
談,言（ごんべん）に炎
鮎,魚（うおへん・さかなへん）に占
扳,扌（てへん）に反
危,わりふ・まげわりふに厃
危,「あやうい」「あやぶむ」は中学校で習う読み方です。
砒,石（いしへん）に比
堋,土（つちへん・どへん）に朋
檜,木（きへん）に會
錏,金（かねへん）に亞
𨻫,こざとへんに竜
馞,香（かおり・においこう）に孛
虹,むしへんに工
疰,疒（やまいだれ）に主
諤,ごんべんに咢
楪,木（きへん）に枼
鮄,魚（うおへん）に弗
英,くさかんむりに央
𣪘,殳（るまた・ほこづくり）に皀
𣪘,殳（るまた・ほこづくり）に白に匕
珎,おうへん・たまへんに尓
斫,斤（おのづくり）に石
灩,氵（さんずい）に豔
灩,氵（さんずい）に豐に盍
料,斗（とます・と）に米
糜,米（こめ）に
勷,力（ちから）に襄
瘉,やまいだれに兪
銖,金（かねへん）に朱
啠,口（くち）に斦
棕,木（きへん）に宗
磽,石（いしへん）に堯
刓,刂（りっとう）に元
靄,雨（あめかんむり）に謁
軺,車（くるまへん）に召
軺,車（くるまへん）に刀に口
琅,王（おうへん・たまへん）に良
蚰,虫（むしへん）に由
汜,氵（さんずい）に巳
亘,二（に）に日
菊,くさかんむりに匊
蚌,虫（むしへん）に丰
凜,冫（にすい）に稟
箙,竹（たけかんむり）に服
穸,穴（あなかんむり）に夕
啌,口（くちへん）に空
簑,たけかんむりに衰
稃,禾（のぎへん）に孚
雩,雨（あめかんむり）に亏
梖,木（きへん）に貝
祕,しめすへんに必
被,ころもへんに皮
棃,木（き）に𥝢
醐,酉（とりへん）に胡
醐,酉（とりへん）に古に月
叭,口（くちへん）に八
爀,火（ひへん）に赫
爀,火（ひへん）に赤に赤
軾,車（くるまへん）に式
唫,口（くちへん）に金
綯,糸（いとへん）に匋
恙,心（こころ）に𦍌
袍,衤（ころもへん）に
匣,匚（はこがまえ）に甲
炸,火（ひへん）に乍
臭,自（みずから）に大
圄,囗（くにがまえ）に吾
蔤,艹（くさかんむり）に密
湾,さんずいに弯
猴,けものへんに侯
檍,木（きへん）に意
鮟,魚（うおへん・さかなへん）に安
潛,さんずいに朁
价,にんべんに介
𥉌,目（めへん）に荅
己,「キ」「おのれ」は中学校で習う読み方です。
閊,門（もんがまえ・かどがまえ）に山
虵,むしへんに也
柀,木（きへん）に皮
惮,りっしんべんに単
吶,口（くちへん）に內
玞,王（おうへん）に夫
蠮,虫（むしへん）に翳
簓,竹（たけかんむり）に彫
幫,封に帛
幫,巾（はば）に封に白
漑,さんずいに既
都,おおざとに者
娣,女（おんなへん）に弟
倒,にんべんに到
倒,にんべんに至に刂
帆,はばへん・きんべんに凡
愉,りっしんべんに俞
蠡,虫（むし）に虫に彖
蠡,䖵に彖
隴,こざとへんに龍
粲,米（こめ）に𣦼
粲,米（こめ）に歺に又
㚖,大（だい）に白
冝,わかんむりに且
巢,巛（まがりかわ）に果
掏,てへんに匋
纐,糸（いとへん）に頝
𡢽,女（おんなへん）に雷
雲,雨（あめかんむり）に云
轣,車（くるまへん）に歷
芷,艹（くさかんむり）に止
鑽,金（かねへん）に贊
膠,月（にくづき）に翏
膠,月（にくづき）に羽に㐱
傕,亻（にんべん）に隺
煖,火（ひへん）に爰
燎,火（ひへん）に尞
棔,木（きへん）に昏
棔,木（きへん）に日に氏
察,うかんむりに祭
玘,王（おうへん）に己
迭,しんにょう・しんにゅうに失
服,つきへんに𠬝
咭,口（くちへん）に吉
咭,口（くちへん）に士に口
筅,竹（たけかんむり）に先
偣,亻（にんべん）に省
稭,禾（のぎへん）に皆
稭,禾（のぎへん）に比に白
匙,匕（ひ・さじ・さじのひ）に是
部,おおざとに咅
惘,りっしんべんに罔
鍋,かねへんに咼
誮,言（ごんべん）に花
嶰,山（やまへん）に解
肄,聿（ふでづくり）に𠤕
肄,聿（ふでづくり）に匕に矢
縈,糸（いと）に𤇾
伍,にんべんに五
逾,しんにょう・しんにゅうに兪
忔,忄（りっしんべん）に乞
抽,てへんに由
錙,金（かねへん）に甾
錙,金（かねへん）に巛に田
看,目（め）に龵
南,「ナ」は高校で習う読み方です。
琥,王（おうへん・たまへん）に虎
蹤,足（あしへん）に從
張,弓（ゆみへん）に長
纔,糸（いとへん）に毚
綛,糸（いとへん）に忍
毟,毛（け）に少
噌,口（くちへん）に曾
蠍,虫（むしへん）に歇
蠍,虫（むしへん）に曷に欠
嗾,口（くちへん）に族
垸,土（つちへん）に完
鬖,髟（かみがしら・かみかんむり）に參
瘼,疒（やまいだれ）に莫
丒,一（いち）に刃
篋,竹（たけかんむり）に匧
譁,ごんべんに華
萪,くさかんむりに科
賰,貝（かいへん）に春
綏,糸（いとへん）に
綏,糸（いとへん）に爫に女
習,羽（はね）に白
鮫,魚（うおへん・さかなへん）に交
貯,かいへんに宁
棐,木（き）に非
盱,目（めへん）に于
栻,木（きへん）に式
斄,𠩺に來
鯔,魚（うおへん・さかなへん）に甾
鯔,魚（うおへん・さかなへん）に巛に田
呻,口（くちへん）に申
您,心（こころ）に你
殪,歹（かばねへん・いちたへん・がつへん）に壹
本,木（き）に一
飫,しょくへんに夭
鰻,魚（うおへん・さかなへん）に曼
俚,にんべんに里
𠗖,冫（にすい）に谷
蘀,艹（くさかんむり）に擇
績,糸（いとへん）に責
賭,かいへんに者
賭,「ト」は高校で習う読み方です。
㗅,口（くちへん）に胡
㗅,口（くちへん）に古に月
刮,りっとうに舌
暝,日（ひへん・にちへん）に冥
窕,穴（あなかんむり）に兆
坴,土（つち）に圥
慊,忄（りっしんべん）に
屈,しかばね・かばね・しかばねかんむり・かばねだれに出
𠍱,にんべんに集
嫠,女（おんなへん）に𠩺
詒,ごんべんに台
詒,ごんべんに厶に口
顛,頁（おおがい・いちのかい）に真
聒,耳（みみへん）に舌
熾,火（ひへん）に戠
瞬,めへんに舜
瞬,「またたく」は高校で習う読み方です。
邂,しんにょう・しんにゅうに解
椰,木（きへん）に耶
眛,目（めへん）に未
吐,くちへんに土
桧,木（きへん）に会
貪,貝（かい・こがい）に今
晥,日（ひへん・にちへん）に完
磦,石（いしへん）に票
磦,石（いしへん）に覀に示
贈,かいへんに曾
憫,りっしんべんに閔
頍,頁（おおがい・いちのかい）に支
廚,广（まだれ）に尌
孔,こへん・こどもへんに乚
觚,角（つのへん）に瓜
筯,竹（たけかんむり）に助
筯,竹（たけかんむり）に且に力
錝,金（かねへん）に宗
呱,口（くちへん）に瓜
槪,きへんに既
崝,山（やまへん）に靑
覊,襾（おおいかんむり・かなめのかしら）に䩻
覊,襾（おおいかんむり・かなめのかしら）に革に馬
褂,ころもへんに卦
褂,ころもへんに圭に卜
鵠,鳥（とり・とりへん）に吿
冗,わかんむりに几
声,「こわ」は中学校で習う読み方、「ショウ」は高校で習う読み方です。
樓,きへんに婁
壁,土（つち）に辟
欖,木（きへん）に覽
稘,禾（のぎへん）に其
瞩,目（めへん）に属
堡,土（つち）に保
堡,土（つち）に亻に呆
讌,ごんべんに燕
忘,心（こころ）に亡
忘,「ボウ」は中学校で習う読み方です。
塡,つちへん・どへんに眞
粟,米（こめ）に覀
叮,口（くちへん）に丁
絵,糸（いとへん）に会
牯,牛（うしへん）に古
敦,攵（のぶん・ぼくづくり）に享
蔬,くさかんむりに疏
嗔,口（くちへん）に眞
𧑉,自に䖵
𧑉,虫（むし）に虫に自
栘,木（きへん）に多
栘,木（きへん）に夕に夕
飋,風（かぜ）に瑟
黿,黽（べん・べんあし・かえる）に元
騨,馬（うまへん）に単
庁,まだれに丁
牕,かたへんに悤
牕,かたへんに囱に心
笳,竹（たけかんむり）に加
遨,しんにょう・しんにゅうに敖
洧,氵（さんずい）に有
沄,氵（さんずい）に云
斧,斤（きん・おの）に父
睠,目（めへん）に卷
充,儿（ひとあし・にんにょう）に𠫓
充,「あてる」は高校で習う読み方です。
亶,亠（なべぶた・けいさん・けいさんかんむり）に回に旦
亶,㐭に旦
苔,くさかんむりに台
苔,くさかんむりに厶に口
炬,火（ひへん）に巨
咋,口（くちへん）に咋
鱠,魚（うおへん・さかなへん）に會
猊,けものへんに兒
鰣,魚（うおへん）に時
鰣,魚（うおへん）に日に寺
帕,巾（はばへん）に白
衵,ころもへんに日
締,糸（いとへん）に帝
殩,歹（かばねへん・いちたへん・がつへん）に粲
畊,田（たへん）に井
巣,つ・つかんむりに果
猷,犬（いぬ）に酋
伃,亻（にんべん）に予
勉,力（ちから）に免
惴,りっしんべんに耑
惴,りっしんべんに山に而
燼,火（ひへん）に盡
銧,金（かねへん）に光
侈,にんべんに多
縺,糸（いとへん）に
筵,竹（たけかんむり）に延
迸,しんにょう・しんにゅうに并
榠,木（きへん）に冥
翊,立に羽
挺,てへんに廷
挺,てへんに廴に壬
奶,女（おんなへん）に乃
帛,巾（はば）に白
藙,艹（くさかんむり）に毅
伯,にんべんに白
㠀,山（やま）に鳥
揜,扌（てへん）に弇
揜,扌（てへん）に合に廾
土,「土」は書き順を間違えやすい漢字の一つです。→「土」の書き順（筆順）
褌,ころもへんに軍
縊,糸（いとへん）に益
撃,手（て）に軗
韈,ころもへんに蔑
敏,攵（のぶん・ぼくづくり）に每
痂,疒（やまいだれ）に加
嗉,口（くちへん）に素
嵋,山（やまへん）に眉
伸,にんべんに申
厭,厂（がんだれ）に猒
顗,頁（おおがい・いちのかい）に豈
顗,頁（おおがい・いちのかい）に山に豆
沭,氵（さんずい）に朮
樋,木（きへん）に
弾,弓（ゆみへん）に単
瓊,王（おうへん・たまへん）に夐
凄,にすいに妻
逍,しんにょう・しんにゅうに
贇,貝（かい・こがい）に斌
贇,貝（かい・こがい）に文に武
玥,王（おうへん）に月
辺,しんにょう・しんにゅうに刀
折,てへんに斤
鍖,金（かねへん）に甚
蟇,虫（むし）に莫
輒,車（くるまへん）に耴
輒,車（くるまへん）に耳に乚
幾,幺（よう・いとがしら）に幺に戍
幾,𢆶に戍
珠,おうへん・たまへんに朱
陜,こざとへんに夾
器,「うつわ」は中学校で習う読み方です。
齆,鼻（はなへん）に邕
雉,隹（ふるとり）に矢
犾,犭（けものへん）に犬
跂,足（あしへん）に支
蒡,くさかんむりに旁
羽,「ウ」は中学校で習う読み方です。
萸,くさかんむりに臾
層,しかばね・かばね・しかばねかんむり・かばねだれに曾
讝,言（ごんべん）に嚴
頎,頁（おおがい・いちのかい）に斤
濛,さんずいに蒙
臨,「のぞむ」は中学校で習う読み方です。
