漢字,音訓,読み方,表内読み
粶,音,ロク,,表内読み
肢,訓,てあし,,表外読み
肢,音,シ,,表内読み
瀣,音,カイ,,表内読み
漐,音,チュウ,,表内読み
雖,訓,いえど,も,表内読み
雖,訓,た,だ,表内読み
雖,音,スイ,,表内読み
談,訓,かた,る,表外読み
談,音,ダン,,表内読み
談,音,タン,,表外読み
鮎,訓,あゆ,,表内読み
鮎,訓,なまず,,表内読み
鮎,音,デン,,表内読み
鮎,音,ネン,,表内読み
扳,音,ハン,,表内読み
害,訓,そこ,なう,表外読み
害,訓,わざわ,い,表外読み
害,音,ガイ,,表内読み
害,音,カイ,,表外読み
危,訓,あぶ,ない,表内読み
危,訓,あや,うい,表内読み
危,訓,あや,ぶむ,表内読み
危,訓,あや,める,表外読み
危,訓,たか,い,表外読み
危,音,キ,,表内読み
砒,音,ヒ,,表内読み
砒,音,ヘイ,,表内読み
堋,音,ホウ,,表内読み
檜,訓,ひのき,,表内読み
檜,音,カイ,,表内読み
錏,訓,しころ,,表内読み
錏,音,ア,,表内読み
𨻫,訓,おか,,表内読み
𨻫,訓,うね,,表内読み
𨻫,音,ロウ,,表内読み
𨻫,音,リョウ,,表内読み
丙,訓,ひのえ,,表外読み
丙,音,ヘイ,,表内読み
馞,音,ホツ,,表内読み
虹,訓,にじ,,表内読み
虹,音,コウ,,表外読み
疰,音,シュ,,表内読み
諤,音,ガク,,表内読み
楪,訓,ゆずりは,,表内読み
楪,音,チョウ,,表内読み
鮄,音,フツ,,表内読み
𨂻,訓,ふ,む,表内読み
𨂻,音,トウ,,表内読み
𨂻,音,ドウ,,表内読み
英,訓,はな,,表外読み
英,訓,はなぶさ,,表外読み
英,訓,ひい,でる,表外読み
英,音,エイ,,表内読み
𣪘,音,キ,,表内読み
珎,訓,めずら,しい,表内読み
珎,音,チン,,表内読み
斫,訓,き,る,表内読み
斫,音,シャク,,表内読み
灩,音,エン,,表内読み
料,訓,はか,る,表外読み
料,音,リョウ,,表内読み
糜,訓,かゆ,,表内読み
