漢字,異体字
雖,𨿽
雖,虽
砒,磇
檜,桧
𨻫,隴
諤,讍
𨂻,蹈
英,偀
𣪘,簋
珎,珍
灩,灎
灩,灔
灩,灧
瘉,癒
啠,哲
啠,喆
啠,嚞
啠,悊
棕,椶
刓,㝴
琅,瑯
兔,兎
蚌,蜯
凜,凛
弱,𢐅
簑,蓑
簑,簔
穀,穀
穀,糓
祕,秘
棃,梨
棃,梸
臭,臭
湾,灣
猴,㺅
瑶,瑤
潛,潜
潛,濳
虵,蛇
虵,𧉮
惮,憚
吶,呐
幫,幇
幫,帮
幫,幚
都,都
帆,㠶
帆,䑺
帆,𩗋
隴,𨻫
冝,宜
冝,宐
巢,巣
鑽,鑚
煖,煗
比,夶
𨫝,鑵
部,郶
抽,𢭆
抽,㩅
錙,鍿
尣,尢
張,张
愛,㤅
愛,爱
愛,𢜤
丒,丑
習,习
刮,𠜜
乗,乘
乗,椉
労,勞
労,劳
𠍱,集
𠍱,雧
顛,顚
椰,㭨
桧,檜
贈,贈
憫,𢡻
憫,悯
廚,厨
廚,㕑
槪,概
槪,槩
覊,羈
冗,宂
声,聲
樓,楼
欖,㰖
瞩,矚
堡,堢
忘,㤀
羲,𦏁
塡,填
絵,繪
敦,㪟
𢈘,鹿
𧑉,蛗
騨,驒
庁,廳
庁,廰
庁,厅
庁,厛
牕,窓
牕,窗
牕,窻
牕,䆫
斧,𨨞
苔,菭
猊,貎
畊,耕
巣,巢
勉,勉
燼,烬
燼,㶳
迸,逬
㠀,島
㠀,嶋
㠀,嶌
㠀,嶹
㠀,岛
土,𡈽
土,圡
褌,裩
撃,擊
撃,击
韈,韤
敏,敏
敏,勄
厭,厌
弾,彈
弾,弹
辺,邊
辺,邉
折,㪿
蟇,蟆
輒,輙
器,器
器,噐
犾,㹜
羽,羽
萸,茰
層,層
層,层
臨,临
雍,雝
紮,紥
矤,矧
茰,萸
敘,叙
敘,敍
巓,嵮
巓,巅
巓,巔
既,既
既,旣
園,薗
算,筭
畧,略
嚨,咙
兗,兖
鋒,鏠
鼡,鼠
肧,胚
偵,侦
営,營
匳,奩
匳,匲
匳,奁
媿,愧
埜,野
埜,𡌛
埜,壄
埜,㙒
斲,斵
辛,𨐌
𩻄,鰥
妖,𡝩
懟,怼
禩,祀
随,隨
随,遀
梅,梅
梅,楳
梅,槑
邢,郉
剔,𠜓
弶,摾
㷔,焰
㷔,焔
㷔,燄
㷔,熖
迂,迃
瀧,滝
浄,淨
尠,尟
憮,怃
楼,樓
爫,爫
珏,玨
碗,盌
慫,怂
鰲,鼇
韵,韻
鍳,鑑
鍳,鑒
薫,薰
薫,蘍
同,仝
欅,﨔
欅,榉
欅,櫸
毗,毘
毗,𣬈
敕,勅
相,𥄢
憎,憎
麦,麥
孃,嬢
皸,皹
惱,悩
惱,𢚰
惱,恼
防,埅
窃,竊
沈,沉
冢,𠣥
槞,櫳
槞,㰍
槞,栊
潸,澘
逸,逸
雋,隽
熔,鎔
鑿,𣫞
鑿,凿
桮,杯
桮,盃
桮,㮎
巖,巌
巖,巗
輜,輺
夬,叏
明,朙
麯,麹
麯,麴
学,學
学,斈
刪,删
刪,𠜂
尤,怣
每,毎
遙,遥
儉,倹
儉,俭
屨,屦
埓,埒
簋,𣪘
概,槪
概,槩
汴,汳
熈,熙
熈,煕
熈,凞
熈,凞
熈,焈
桝,枡
𦾔,旧
𦾔,舊
證,証
迺,廼
袞,衮
逸,逸
晟,晠
淺,浅
發,発
發,彂
冊,册
冊,𠕁
萊,莱
攣,挚
攪,撹
攪,搅
堯,尭
堯,尧
幸,𠂷
與,与
媽,妈
虗,虚
虗,虛
点,點
点,奌
点,㸃
挵,弄
挵,挊
絛,縧
炉,爐
𨐌,辛
𦜝,臍
儞,你
儞,伱
櫞,橼
粹,粋
鹽,塩
壊,壞
裝,装
瑠,璢
㮤,松
㮤,枩
㮤,柗
㮤,梥
㮤,枀
彝,彜
彝,彛
彝,彞
羹,羮
賺,𧸖
奸,姧
鬧,閙
魚,𩵋
谿,𧮾
栄,榮
栄,荣
齏,韲
齏,虀
齏,䪡
吉,𠮷
儲,储
㫗,厚
㫗,垕
勖,勗
勖,朂
懾,慑
勲,勳
勲,勛
勲,勋
倉,仑
倉,仺
諌,諫
麬,麩
麬,麸
媠,嫷
祀,禩
欵,款
欵,㱁
凞,熙
凞,煕
凞,熈
凞,凞
凞,焈
𢛳,徳
𢛳,悳
𢛳,恴
𢛳,惪
𢛳,㥁
穀,穀
穀,糓
璢,瑠
戀,恋
萗,策
褐,褐
槵,梙
虚,虛
虚,虗
這,这
界,畍
界,𨺬
騷,騒
県,縣
県,县
蹕,𠌫
柄,棅
麸,麩
麸,麬
斝,斚
摂,攝
摂,摄
煮,煮
煮,煑
癇,癎
濕,湿
濕,溼
毓,育
刀,釖
縕,緼
其,亓
崎,嵜
崎,㟢
崎,﨑
祖,祖
那,𨙻
蔆,菱
悽,恓
崟,崯
