漢字,関連項目
危,女
危,角
危,牛
危,室
危,心
危,星
危,胃
危,参
危,張
危,鬼
危,虚
危,井
危,斗
危,尾
危,壁
危,房
危,翼
危,柳
危,奎
危,昴
危,畢
危,箕
危,婁
危,亢
危,觜
危,軫
危,氐
丙,丁
丙,己
丙,乙
丙,甲
丙,辛
丙,壬
丙,庚
丙,戊
丙,癸
銖,両
銖,錙
己,丁
己,乙
己,甲
己,辛
己,丙
己,壬
己,庚
己,戊
己,癸
蠮,螉
娣,姒
伍,拾
伍,参
伍,陸
伍,壱
伍,漆
伍,弐
伍,伍
伍,玖
伍,捌
伍,什
伍,肆
錙,両
錙,錙
南,西
南,東
南,北
張,女
張,角
張,牛
張,室
張,心
張,星
張,胃
張,参
張,危
張,鬼
張,虚
張,井
張,斗
張,尾
張,壁
張,房
張,翼
張,柳
張,奎
張,昴
張,畢
張,箕
張,婁
張,亢
張,觜
張,軫
張,氐
斄,犛
亥,子
亥,午
亥,申
亥,未
亥,丑
亥,亥
亥,卯
亥,寅
亥,巳
亥,辰
亥,酉
亥,戌
壁,女
壁,角
壁,牛
壁,室
壁,心
壁,星
壁,胃
壁,参
壁,張
壁,危
壁,鬼
壁,虚
壁,井
壁,斗
壁,尾
壁,房
壁,翼
壁,柳
壁,奎
壁,昴
壁,畢
壁,箕
壁,婁
壁,亢
壁,觜
壁,軫
壁,氐
𦉰,网
𦉰,㓁
銧,鐳
伯,子
伯,男
伯,公
伯,侯
土,火
土,金
土,水
土,木
羽,角
羽,宮
羽,商
羽,徴
萸,茱
弟,兄
弟,姉
弟,妹
藶,葶
顬,顬
梲,棁
辛,苦
辛,丁
辛,酸
辛,己
辛,乙
辛,甘
辛,甲
辛,丙
辛,壬
辛,庚
辛,戊
辛,癸
辛,鹹
靂,霹
耵,聹
櫲,樟
櫞,枸
鴝,鵒
琬,琰
羭,羖
虚,女
虚,角
虚,牛
虚,室
虚,心
虚,星
虚,胃
虚,参
虚,張
虚,危
虚,鬼
虚,井
虚,斗
虚,尾
虚,壁
虚,房
虚,翼
虚,柳
虚,奎
虚,昴
虚,畢
虚,箕
虚,婁
虚,亢
虚,觜
虚,軫
虚,氐
鴛,鴦
琰,琬
偏,構
偏,垂
偏,冠
偏,脚
偏,偏
偏,旁
偏,繞
檳,榔
兄,姉
兄,弟
兄,妹
売,買
巫,覡
牛,女
牛,角
牛,室
牛,心
牛,星
牛,胃
牛,参
牛,張
牛,危
牛,鬼
牛,虚
牛,井
牛,斗
牛,尾
牛,壁
牛,房
牛,翼
牛,柳
牛,奎
牛,昴
牛,畢
牛,箕
牛,婁
牛,亢
牛,觜
牛,軫
牛,氐
檬,檸
尾,女
尾,角
尾,牛
尾,室
尾,心
尾,星
尾,胃
尾,参
尾,張
尾,危
尾,鬼
尾,虚
尾,井
尾,斗
尾,壁
尾,房
尾,翼
尾,柳
尾,奎
尾,昴
尾,畢
尾,箕
尾,婁
尾,亢
尾,觜
尾,軫
尾,氐
酙,斟
構,構
構,垂
構,冠
構,脚
構,偏
構,旁
構,繞
蠐,螬
鱫,鱜
万,一
万,十
万,正
万,千
万,百
万,京
万,億
万,極
万,兆
万,溝
万,載
万,穣
万,澗
万,垓
万,秭
饠,饆
兌,乾
兌,震
兌,離
兌,巽
兌,坤
兌,艮
兌,坎
敺,駆
木,火
木,金
木,水
木,土
岩,巖
巳,子
巳,午
巳,申
巳,未
巳,丑
巳,亥
巳,卯
巳,寅
巳,巳
巳,辰
巳,酉
巳,戌
蚪,蝌
鉧,鈷
萆,薢
冠,構
冠,垂
冠,冠
冠,脚
冠,偏
冠,旁
冠,繞
秭,一
秭,十
秭,正
秭,千
秭,百
秭,京
秭,万
秭,億
秭,極
秭,兆
秭,溝
秭,載
秭,穣
秭,澗
秭,垓
𣜜,栃
辶,辵
辶,辶
申,子
申,午
申,申
申,未
申,丑
申,亥
申,卯
申,寅
申,巳
申,辰
申,酉
申,戌
孒,孑
軫,女
軫,角
軫,牛
軫,室
軫,心
軫,星
軫,胃
軫,参
軫,張
軫,危
軫,鬼
軫,虚
軫,井
軫,斗
軫,尾
軫,壁
軫,房
軫,翼
軫,柳
軫,奎
軫,昴
軫,畢
軫,箕
軫,婁
軫,亢
軫,觜
軫,氐
蚸,螇
春,夏
春,秋
春,冬
宙,宇
嫐,嬲
六,一
六,九
六,三
六,四
六,七
六,十
六,二
六,八
六,六
六,五
寤,寐
玖,拾
玖,参
玖,陸
玖,壱
玖,漆
玖,弐
玖,伍
玖,玖
玖,捌
玖,肆
喇,嘛
鷇,雛
鋙,鉏
鋙,錕
騠,駃
艋,舴
鉏,鋙
竏,竍
竏,竏
竏,竕
竏,竓
竏,竡
竏,竰
肭,膃
午,子
午,午
午,申
午,未
午,丑
午,亥
午,卯
午,寅
午,巳
午,辰
午,酉
午,戌
姆,嬸
鈳,鈮
葜,菝
十,一
十,九
十,三
十,四
十,七
十,正
十,千
十,二
十,八
十,百
十,六
十,五
十,京
十,万
十,億
十,極
十,兆
十,溝
十,載
十,穣
十,澗
十,垓
十,秭
鵒,鴝
億,一
億,十
億,正
億,千
億,百
億,京
億,万
億,極
億,兆
億,溝
億,載
億,穣
億,澗
億,垓
億,秭
雄,雌
未,子
未,午
未,申
未,未
未,丑
未,亥
未,卯
未,寅
未,巳
未,辰
未,酉
未,戌
桼,㯃
買,売
極,一
極,十
極,正
極,千
極,百
極,京
極,万
極,億
極,兆
極,溝
極,載
極,穣
極,澗
極,垓
極,秭
𧘕,𧘔
鐏,鐓
鱜,鱫
蜙,蝑
艮,乾
艮,震
艮,離
艮,巽
艮,坤
艮,兌
艮,坎
献,献
献,酢
献,酬
榔,檳
鐓,鐏
蠨,蛸
女,角
女,牛
女,室
女,心
女,星
女,胃
女,参
女,張
女,危
女,鬼
女,虚
女,井
女,斗
女,尾
女,壁
女,房
女,翼
女,柳
女,奎
女,昴
女,畢
女,箕
女,婁
女,亢
女,觜
女,軫
女,氐
磠,硇
蝣,蜉
蜥,蜴
㯃,桼
卯,子
卯,午
卯,申
卯,未
卯,丑
卯,亥
卯,卯
卯,寅
卯,巳
卯,辰
卯,酉
卯,戌
瓲,瓧
瓲,瓩
瓲,瓰
瓲,瓱
瓲,瓸
瓲,甅
艗,榏
彲,螭
飥,餺
煞,殺
房,女
房,角
房,牛
房,室
房,心
房,星
房,胃
房,参
房,張
房,危
房,鬼
房,虚
房,井
房,斗
房,尾
房,壁
房,翼
房,柳
房,奎
房,昴
房,畢
房,箕
房,婁
房,亢
房,觜
房,軫
房,氐
西,東
西,南
西,北
饆,饠
蚓,蚯
萏,菡
酢,献
酢,酢
酢,酬
北,西
北,東
北,南
鹹,苦
鹹,酸
鹹,甘
鹹,辛
狳,犰
佺,偓
竡,竍
竡,竏
竡,竕
竡,竓
竡,竡
竡,竰
水,火
水,金
水,土
水,木
母,父
藤,平
藤,源
藤,橘
鬼,女
鬼,角
鬼,牛
鬼,室
鬼,心
鬼,星
鬼,胃
鬼,参
鬼,張
鬼,危
鬼,虚
鬼,井
鬼,斗
鬼,尾
鬼,壁
鬼,房
鬼,翼
鬼,柳
鬼,奎
鬼,昴
鬼,畢
鬼,箕
鬼,婁
鬼,亢
鬼,觜
鬼,軫
鬼,氐
犰,狳
金,火
金,水
金,土
金,木
心,女
心,角
心,牛
心,室
心,心
心,星
心,胃
心,参
心,張
心,危
心,肺
心,肝
心,鬼
心,虚
心,腎
心,井
心,斗
心,尾
心,壁
心,房
心,翼
心,柳
心,奎
心,昴
心,畢
心,箕
心,婁
心,亢
心,脾
心,觜
心,軫
心,氐
鋧,銑
牡,牝
姒,娣
京,一
京,十
京,正
京,千
京,百
京,万
京,億
京,極
京,兆
京,溝
京,載
京,穣
京,澗
京,垓
京,秭
髒,骯
菀,茈
鷧,鷀
鷧,鸕
蝠,蝙
𩙿,食
𩙿,飠
寅,子
寅,午
寅,申
寅,未
寅,丑
寅,亥
寅,卯
寅,寅
寅,巳
寅,辰
寅,酉
寅,戌
垓,一
垓,十
垓,正
垓,千
垓,百
垓,京
垓,万
垓,億
垓,極
垓,兆
垓,溝
垓,載
垓,穣
垓,澗
垓,秭
怙,恃
宇,宙
妹,兄
妹,姉
妹,弟
坰,冋
蜻,蛉
竰,竍
竰,竏
竰,竕
竰,竓
竰,竡
竰,竰
鰶,鮗
敔,柷
二,一
二,九
二,三
二,四
二,七
二,十
二,二
二,八
二,六
二,五
凸,凹
角,女
角,羽
角,牛
角,室
角,心
角,星
角,宮
角,商
角,胃
角,参
角,張
角,危
角,鬼
角,虚
角,井
角,徴
角,斗
角,尾
角,壁
角,房
角,翼
角,柳
角,奎
角,昴
角,畢
角,箕
角,婁
角,亢
角,觜
角,軫
角,氐
傈,僳
鵷,凰
鵷,鳳
詛,盟
茈,菀
姨,姑
邶,衞
邶,鄘
米,米
米,粁
米,糎
米,粍
葶,藶
胦,脖
靉,靆
百,一
百,十
百,正
百,千
百,京
百,万
百,億
百,極
百,兆
百,溝
百,載
百,穣
百,澗
百,垓
百,秭
丁,己
丁,乙
丁,甲
丁,辛
丁,丙
丁,壬
丁,庚
丁,戊
丁,癸
丑,子
丑,午
丑,申
丑,未
丑,丑
丑,亥
丑,卯
丑,寅
丑,巳
丑,辰
丑,酉
丑,戌
覡,巫
狼,狽
菝,葜
鸕,鵜
艹,艸
艹,艹
㓁,网
㓁,𦉰
鮃,鰈
螳,螂
鵳,鶙
僳,傈
鸜,鴝
肆,拾
肆,参
肆,陸
肆,壱
肆,漆
肆,弐
肆,伍
肆,玖
肆,捌
肆,肆
蝑,蜙
平,源
平,藤
平,橘
檸,檬
藭,芎
溝,一
溝,十
溝,正
溝,千
溝,百
溝,京
溝,万
溝,億
溝,極
溝,兆
溝,載
溝,穣
溝,澗
溝,垓
溝,秭
漆,拾
漆,参
漆,陸
漆,壱
漆,漆
漆,弐
漆,伍
漆,玖
漆,捌
漆,肆
飠,食
飠,𩙿
靛,藍
螂,螳
肺,心
肺,肺
肺,肝
肺,腎
肺,脾
秉,斛
絺,綌
兆,一
兆,十
兆,正
兆,千
兆,百
兆,京
兆,万
兆,億
兆,極
兆,溝
兆,載
兆,穣
兆,澗
兆,垓
兆,秭
癸,丁
癸,己
癸,乙
癸,甲
癸,辛
癸,丙
癸,壬
癸,庚
癸,戊
髏,髑
硇,磠
楉,榴
父,母
斗,女
斗,角
斗,牛
斗,室
斗,心
斗,星
斗,胃
斗,参
斗,張
斗,危
斗,鬼
斗,虚
斗,井
斗,尾
斗,壁
斗,房
斗,翼
斗,柳
斗,奎
斗,昴
斗,畢
斗,箕
斗,婁
斗,亢
斗,觜
斗,軫
斗,氐
鯨,鯢
穣,一
穣,十
穣,正
穣,千
穣,百
穣,京
穣,万
穣,億
穣,極
穣,兆
穣,溝
穣,載
穣,澗
穣,垓
穣,秭
凹,凸
蜉,蝣
狽,狼
甅,瓧
甅,瓩
甅,瓲
甅,瓰
甅,瓱
甅,瓸
螇,蚸
蔯,茵
千,一
千,十
千,正
千,百
千,京
千,万
千,億
千,極
千,兆
千,溝
千,載
千,穣
千,澗
千,垓
千,秭
䗥,螉
畢,女
畢,角
畢,牛
畢,室
畢,心
畢,星
畢,胃
畢,参
畢,張
畢,危
畢,鬼
畢,虚
畢,井
畢,斗
畢,尾
畢,壁
畢,房
畢,翼
畢,柳
畢,奎
畢,昴
畢,箕
畢,婁
畢,亢
畢,觜
畢,軫
畢,氐
粁,米
粁,粁
粁,糎
粁,粍
捌,拾
捌,参
捌,陸
捌,壱
捌,漆
捌,弐
捌,伍
捌,玖
捌,捌
捌,肆
螉,䗥
仚,仙
雌,雄
螬,蠐
霳,靊
㣺,心
㣺,忄
井,女
井,角
井,牛
井,室
井,心
井,星
井,胃
井,参
井,張
井,危
井,鬼
井,虚
井,斗
井,尾
井,壁
井,房
井,翼
井,柳
井,奎
井,昴
井,畢
井,箕
井,婁
井,亢
井,觜
井,軫
井,氐
瓸,瓧
瓸,瓩
瓸,瓲
瓸,瓰
瓸,瓱
瓸,甅
薐,菠
脚,構
脚,垂
脚,冠
脚,脚
脚,偏
脚,旁
脚,繞
𠆢,人
𠆢,亻
噠,嚈
畦,畝
鸊,鷉
柷,敔
鄘,衞
鄘,邶
菪,莨
弐,拾
弐,参
弐,陸
弐,壱
弐,漆
弐,弐
弐,伍
弐,玖
弐,捌
弐,肆
