漢字,説明,画数,部首,区点コード,Unicode,漢字検定対象級,成り立ち,分類,分類2,習う学年,JIS漢字水準,補足
亜,漢字の「亜」についてです。常用漢字で中学生で習います。,7,二（に）,1-16-01,4E9C,準2級,旧字体は【象形】。「亞」の略体です。,常用漢字,,中学校で習う漢字,JIS第1水準漢字,
唖,漢字の「唖」についてです。唖はJIS第1水準漢字です。,10,口（くちへん）,1-16-02,5516,準1級,【形声】「啞」の異体字です。,,,,JIS第1水準漢字,
娃,漢字の「娃」についてです。娃は人名用漢字です。,9,女（おんなへん）,1-16-03,5A03,準1級,【形声】意「女」＋音「圭」。美しい女性の意を表します。,人名用漢字,,,JIS第1水準漢字,
阿,漢字の「阿」についてです。阿は人名用漢字です。,8,阝（こざと・こざとへん）,1-16-04,963F,準1級,【形声】意「阜」＋音「可」。「くま」の意を表します。,人名用漢字,,,JIS第1水準漢字,
哀,漢字の「哀」についてです。常用漢字で中学生で習います。,9,口（くち）,1-16-05,54C0,3級,【形声】意「口」＋音「衣」。「かなしむ」意を表します。,常用漢字,,中学校で習う漢字,JIS第1水準漢字,
愛,漢字の「愛」についてです。常用漢字で小学校四年生で習います。,13,心（こころ）,1-16-06,611B,7級,【形声】「𢜤」の異体字です。,常用漢字,教育漢字,四年生で習う漢字,JIS第1水準漢字,2005年の「今年の漢字」
挨,漢字の「挨」についてです。常用漢字で中学生で習います。,10,扌（てへん）,1-16-07,6328,2級,【形声】意「手」＋音「矣」。「せまる」意を表します。,常用漢字,,中学校で習う漢字,JIS第1水準漢字,2010年11月30日に常用漢字に追加されました。
姶,漢字の「姶」についてです。姶はJIS第1水準漢字です。,9,女（おんなへん）,1-16-08,59F6,準1級,【形声】意「女」＋音「合」。,,,,JIS第1水準漢字,
逢,漢字の「逢」についてです。逢は人名用漢字です。,11,辶（しんにょう・しんにゅう）,1-16-09,9022,準1級,【形声】意「辵」＋音「夆」。「あう」意を表します。,人名用漢字,,,JIS第1水準漢字,
葵,漢字の「葵」についてです。葵は人名用漢字です。,12,艹（くさかんむり）,1-16-10,8475,準1級,【形声】意「艸」＋音「癸」。,人名用漢字,,,JIS第1水準漢字,
