漢字,意味
亜,つぐ。準ずる。二番目。第二位。
亜,アジア。大州の名。亜細亜の略。
唖,◦一 おし。発語が不自由なこと。また、そのような人。
唖,◦二 ああ。感嘆を表す。
唖,◦二 からすの鳴き声。
唖,◦三 わらう。笑い声。
娃,うつくしい。器量がよい。
娃,美人。美しい女性。
阿,くま。曲がって入り組んだところ。
阿,おか。大きな丘。
阿,よる。よりかかる。
阿,おもねる。へつらう。
阿,ひさし。のき。
阿,親しみをこめて呼ぶ語。
阿,◦国 梵語の音訳字。
阿,◦国 お。親しみをこめて女性や子供の名前の上につける語。
阿,◦国 アフリカ。大州の名。阿弗利加の略。
哀,かなしむ。かなしい。
哀,あわれむ。かわいそうに思う。
哀,あわれ。
愛,いつくしむ。かわいがる。こいしたう。
愛,めでる。このむ。楽しむ。
愛,おしむ。大切にする。
愛,◦国 いとしい。かなしい。
愛,◦国 まな。他の語に冠してかわいがる・愛する意をあらわす。
挨,おす。押しあう。押しのける。
挨,せまる。ちかづく。
姶,みめよい。うつくしい。
逢,あう。思いがけなく出会う。
逢,むかえる。出迎える。おもねる。
逢,おおきい。ゆたか。
葵,ふゆあおい。アオイ科の多年草。
葵,あおい。アオイ科の植物の総称。
茜,あかね。あかねぐさ。アカネ科のつる性多年草。
茜,あかね色。
穐,あき。四季の一つ。
穐,とき。大事な時期。
穐,とし。年月。
穐,みのり。穀物がみのる。
悪,◦一 わるい。あし。正しくない。よくない。
悪,◦一 みにくい。
悪,◦一 粗末な。下等な。
悪,◦一 わるいこと。よくないこと。
悪,◦二 にくむ。きらう。
悪,◦三 いずくんぞ。反語・疑問をあらわす助字。
握,にぎる。手につかむ。指を内に曲げる。
握,とる。自分のものにする。
握,にぎり。とって。手で持つ部分。
握,にぎり。長さの単位。一握りの長さ。
握,にぎり。分量の単位。一握りの分量。
渥,あつい。てあつい。
渥,うるおう。うるおい。うつくしい。つやがある。
旭,あさひ。
旭,あきらか。あかるい。
葦,あし。よし。イネ科の多年草。水辺に自生する。
葦,小舟。小さな舟のたとえ。
芦,あし。よし。イネ科の多年草。
鯵,なまぐさい。
鯵,◦国 あじ。アジ科の海水魚の総称。
梓,キササゲ。ノウゼンカズラ科の落葉高木。
梓,はんぎ。印刷するために彫刻した木の板。また、印刷すること。
梓,木工の職人。
梓,◦国 あずさ。カバノキ科の落葉高木。よぐそみねばりの別称。
圧,おす。おさえる。おさえつける。しずめる。
圧,おさえつける力。
斡,めぐる。めぐらす。まわる。
斡,つかさどる。
扱,おさめる。集めとる。
扱,はさむ。さしはさむ。
扱,引く。
扱,◦国 あつかう。とりあつかう。
扱,◦国 こく。しごく。間に挟み引いて落とす。
宛,まがる。かがむ。くねる。
宛,あたかも。さながら。まるで。
宛,◦国 あてる。わりあてる。あてはめる。
宛,◦国 あて。
宛,◦国 ずつ。
姐,あね。年上の女性のきょうだい。
姐,女性に親しみを込めて呼ぶ語。
姐,はは。母親。
姐,◦国 あねご。あねさん。博徒などの親分の妻・女の親分のこと。
虻,あぶ。アブ科の昆虫の総称。
虻,あみがさゆり。ユリ科の多年草。貝母。
飴,あめ。甘い食品。
飴,たべさせる。やしなう。
絢,あや。織物の美しい模様のこと。
絢,うつくしい。いろどりがあり美しいさま。
綾,あや。あやぎぬ。模様を織り出した絹。
綾,◦国 あや。斜めの線を織り出した模様。
鮎,なまず。ナマズ科の淡水魚。頭部が平たく長いひげをもつ。
鮎,◦国 あゆ。アユ科の淡水魚。
或,ある。定まっていない物事をさす語。
或,あるひと。定まっていない人物をさす語。
或,あるいは。もしくは。
或,まどう。まよう。
粟,もみ。外皮に包まれた状態の稲や黍。
粟,穀物。
粟,ふち。扶持米。
粟,あわ。イネ科の一年草。
粟,鳥肌が立つ。
袷,あわせ。裏地のある着物。
袷,えり。
安,やすい。やすらか。穏やか。心配がない。
安,やすんじる。安心する。満足する。
安,いずくんぞ。いずくにか。反語・疑問をあらわす助字。
安,◦国 値段がやすい。
安,◦国 たやすい。やさしい。容易である。
庵,いおり。草葺の小さな家。僧や尼僧が仏をまつる小さな家。
庵,雅号などにつける語。
按,おさえる。手でおさえる。おさえつける。
按,しらべる。ただす。
按,かんがえる。
暗,くらい。光が少ない。道理にくらい。
暗,やみ。くらやみ。
暗,ひそかに。こっそりと。
暗,そらんじる。そらで覚える。
案,つくえ。台。
案,かんがえる。かんがえ。しらべる。
案,公文書。書類。文書。
案,おさえる。
案,◦国 下書き。
案,◦国 計画。予想。
案,◦国 あんじる。心配する。
闇,とじる。しめる。
闇,くらい。光が少ない。道理にくらい。
闇,やみ。くらやみ。
闇,ひそかに。こっそりと。人知れず。
鞍,くら。人や荷物をのせるために牛馬の背につけるもの。
杏,あんず。からもも。バラ科の落葉小高木。実は甘酸っぱく食用となる。
以,もちいる。使う。
以,もって。もってする。
以,ひきいる。
以,おもう。考える。
以,ゆえ。理由。
以,より。から。それから。
伊,これ。この。近いものを指す指示代名詞。
伊,かれ。かの。三人称代名詞。
伊,ただ。これ。語調を整える助字。
伊,◦国 国名。イタリア。伊太利の略。
位,くらい。等級。地位。順序。
位,場所。方角。
位,くらいする。あるべきところにいる。
位,人の敬称。
位,◦国 くらい。ほど。おおよその数量や程度を表す語。
依,よる。もたれる。たよる。
依,したがう。
依,もとのまま。
偉,えらい。すぐれる。
偉,大きい。立派。
囲,かこむ。周りをとりまく。
囲,かこい。かこみ。
囲,まわり。周辺。
囲,長さの単位。両腕を広げてかかえた長さ。
囲,◦国 かこう。隠しておく。知られないようにする。
夷,えびす。東方の異民族。未開の地、民族のこと。
夷,たいらか。たいら。おだやか。
夷,たいらげる。たいらにする。しずめる。平定する。
夷,ころす。ほろぼす。
夷,うずくまる。あぐらをかく。
夷,◦国 えびす。えみし。えぞ。
夷,◦国 えびす。七福神の一柱。
委,ゆだねる。まかせる。
委,すてる。そのままにしておく。
委,くわしい。こまかい。
委,まげる。まがる。
威,おどす。おそれさす。
威,いかめしい。おごそか。
威,たけし。ちから。
尉,ひのし。
尉,官名。警察や軍事をつかさどる。
尉,◦国 じょう。律令制の四等官、兵衛府・衛門府の三等官。
惟,おもう。よく考える。思い巡らす。
惟,これ。語調を整える助字。
