漢字,解説・構成
唖,口（くちへん）に亜
娃,女（おんなへん）に圭
阿,こざとへんに可
挨,てへんに矣
挨,2010年11月30日に常用漢字に追加されました。
姶,女（おんなへん）に合
逢,しんにょう・しんにゅうに夆
葵,くさかんむりに癸
茜,くさかんむりに西
穐,禾（のぎへん）に亀
悪,心（こころ）に亜
悪,「オ」は高校で習う読み方です。
握,てへんに屋
渥,さんずいに屋
旭,日（ひ・にち）に九
葦,くさかんむりに韋
葦,※当サイトでは総画数を13画としていますが、ブラウザなど環境によって表示が異なる可能性があり「㐄」を3画とした場合、総画数は12画となります。
芦,くさかんむりに戶
鯵,魚（うおへん・さかなへん）に参
梓,木（きへん）に辛
圧,土（つち）に厂
斡,斗（とます・と）に倝
扱,てへんに及
宛,うかんむりに夗
宛,うかんむりに夕に㔾
宛,2010年11月30日に常用漢字に追加されました。
姐,女（おんなへん）に且
虻,虫（むしへん）に亡
飴,しょくへんに台
飴,しょくへんに厶に口
絢,糸（いとへん）に旬
綾,糸（いとへん）に夌
鮎,魚（うおへん・さかなへん）に占
粟,米（こめ）に覀
袷,ころもへんに合
安,うかんむりに女
安,2015年の「今年の漢字」
庵,广（まだれ）に奄
按,てへんに安
暗,ひへん・にちへんに音
暗,「闇」の書きかえとして用いられる字。
案,木（き）に安
案,「按」の書きかえとして用いられる字。
闇,門（もんがまえ・かどがまえ）に音
闇,2010年11月30日に常用漢字に追加されました。
鞍,革（かわへん）に安
杏,木（き）に口
伊,にんべんに尹
位,にんべんに立
依,にんべんに衣
依,「エ」は高校で習う読み方です。
偉,にんべんに韋
偉,※当サイトでは総画数を12画としていますが、ブラウザなど環境によって表示が異なる可能性があり「㐄」を3画とした場合、総画数は11画となります。
囲,囗（くにがまえ）に井
囲,2020年に習う学年が変更されました。（四年生で習う漢字→五年生で習う漢字）
夷,大（だい）に弓
委,女（おんな）に禾
委,1989年に習う学年が変更されました。（四年生で習う漢字→三年生で習う漢字）
威,女（おんな）に戌
惟,りっしんべんに隹
意,心（こころ）に音
慰,心（こころ）に尉
椅,きへんに奇
椅,2010年11月30日に常用漢字に追加されました。
異,田（た）に共
移,禾（のぎへん）に多
維,糸（いとへん）に隹
緯,糸（いとへん）に韋
緯,※当サイトでは総画数を16画としていますが、ブラウザなど環境によって表示が異なる可能性があり「㐄」を3画とした場合、総画数は15画となります。
胃,田に月
胃,2020年に習う学年が変更されました。（四年生で習う漢字→六年生で習う漢字）
萎,くさかんむりに委
萎,2010年11月30日に常用漢字に追加されました。
衣,「ころも」は中学校で習う読み方です。
謂,言（ごんべん）に胃
違,しんにょう・しんにゅうに韋
遺,しんにょう・しんにゅうに貴
遺,「ユイ」は中学校で習う読み方です。
医,かくしがまえに矢
医,※もとは別字とされていますが、「醫」の略体として用いられています。
医,「医」は書き順を間違えやすい漢字の一つです。→「医」の書き順（筆順）
井,「ショウ」は中学校で習う読み方、「セイ」は高校で習う読み方です。
井,2020年に教育漢字に追加されました。（中学校で習う漢字→四年生で習う漢字）
域,つちへん・どへんに或
域,「域」は書き順を間違えやすい漢字の一つです。→「域」の書き順（筆順）
育,𠫓に月
郁,おおざとに有
磯,石（いしへん）に幾
溢,さんずいに益
