漢字,名乗り訓
亜,つぐ
阿,くま
愛,あき
愛,さね
愛,ちか
愛,ちかし
愛,つね
愛,なり
愛,なる
愛,のり
愛,ひで
愛,めぐむ
愛,やす
愛,よし
愛,より
逢,あい
葵,あおい
葵,まもる
茜,あかね
握,もち
渥,あつ
渥,あつし
渥,ひく
旭,あき
旭,あきら
旭,あさ
旭,あさひ
旭,てる
斡,まる
絢,あや
綾,あや
或,もち
安,さだ
安,やす
安,やすし
庵,いおり
杏,あん
杏,あんず
以,これ
以,さね
以,しげ
以,とも
以,のり
以,もち
以,ゆき
伊,いさ
伊,これ
伊,ただ
伊,よし
位,くら
位,たか
位,ただ
位,ただし
位,つら
位,なり
位,のり
位,ひこ
位,ひら
位,み
依,より
偉,いさむ
偉,たけ
偉,より
囲,もり
夷,ひな
夷,ひら
委,くつ
委,つく
委,とも
委,もろ
威,あきら
威,おどし
威,たか
威,たけ
威,たけし
威,たける
威,つよ
威,とし
威,なり
威,のり
尉,じょう
尉,やす
惟,あり
惟,これ
惟,ただ
惟,たもつ
惟,のぶ
惟,よし
意,お
意,おき
意,おさ
意,のり
意,むね
意,もと
意,よし
慰,のり
慰,やす
易,おさ
易,かぬ
易,かね
易,やす
易,やすし
為,さだ
為,しげ
為,す
為,すけ
為,た
為,ため
為,ち
為,なり
為,ゆき
為,よし
為,より
異,こと
異,より
移,のぶ
移,や
移,ゆき
移,よき
移,より
移,わたる
維,これ
維,しげ
維,すけ
維,すみ
維,ただ
維,たもつ
維,つな
維,つなぐ
維,ふき
維,ふさ
維,まさ
維,ゆき
緯,つかね
衣,きぬ
衣,そ
衣,みそ
遺,おく
医,おさむ
井,い
井,きよ
亥,い
亥,り
域,くに
域,むら
育,すけ
育,なり
育,なる
育,やす
郁,あや
郁,か
郁,かおる
郁,たかし
郁,ふみ
一,おさむ
一,か
一,かず
一,かた
一,かつ
一,くに
一,すすむ
一,ただ
一,ち
一,のぶ
一,はじむ
一,はじめ
一,ひ
一,ひじ
一,ひで
一,ひと
一,ひとし
一,まこと
一,まさし
一,もと
壱,かず
壱,さね
壱,もろ
溢,みつ
溢,みつる
逸,すぐる
逸,とし
逸,はつ
逸,はや
逸,まさ
逸,やす
稲,いな
稲,いね
稲,しね
稲,ね
允,あえ
允,おか
允,こと
允,さね
允,すけ
允,ただ
允,ちか
允,とう
允,のぶ
允,まこと
允,まさ
允,みつ
允,よし
印,あき
印,おき
印,おし
印,かね
印,しる
員,かず
員,さだ
因,ちなみ
因,なみ
因,ゆかり
因,よし
因,より
因,よる
引,のぶ
引,ひき
引,ひさ
胤,かず
胤,たね
胤,つぎ
胤,つぐ
胤,つづき
胤,み
蔭,かげ
陰,かげ
隠,やす
韻,おと
右,あきら
右,これ
右,すけ
右,たか
右,たすく
右,みぎ
宇,うま
宇,たか
宇,のき
羽,は
羽,わね
迂,とお
迂,ゆき
雨,さめ
雨,ふる
卯,あきら
卯,う
卯,しげ
卯,しげる
丑,うし
丑,ひろ
唄,うた
姥,おけ
姥,とめ
浦,うら
浦,ら
閏,うる
云,おき
云,これ
云,とも
云,ひと
運,かず
運,はこぶ
運,やす
運,ゆき
雲,くも
雲,も
雲,ゆく
叡,あきら
叡,さと
叡,さとし
叡,ただ
叡,とおる
叡,とし
叡,まさ
叡,よし
営,のり
営,よし
影,かげ
映,あき
映,あきら
映,てる
映,みつ
曳,とお
曳,のぶ
栄,さか
栄,さかえ
栄,さこう
栄,しげ
栄,しげる
栄,たか
栄,てる
栄,とも
栄,なが
栄,はる
栄,ひさ
栄,ひさし
栄,ひで
栄,ひろ
栄,まさ
栄,よし
永,つね
永,なが
永,ながし
永,のぶ
永,のり
永,はるか
永,ひさ
永,ひさし
永,ひら
瑛,あき
瑛,あきら
瑛,てる
英,あきら
英,あや
英,すぐる
英,たけし
英,つね
英,てる
英,とし
英,はな
英,はなぶさ
英,ひで
英,ひでる
英,ひら
英,ふさ
英,ぶさ
英,よし
衛,ひろ
衛,まもり
衛,まもる
衛,もり
衛,よし
詠,うた
詠,かぬ
詠,かね
詠,なが
鋭,さとき
鋭,とき
鋭,とし
益,あり
益,すすむ
益,のり
益,まし
益,ます
益,また
益,み
益,みつ
益,よし
悦,のぶ
悦,よし
謁,つく
謁,ゆく
越,お
越,こえ
越,こし
閲,かど
閲,み
榎,え
円,かず
円,つぶら
円,のぶ
円,まどか
円,まる
円,みつ
園,その
奄,ひさ
宴,もり
宴,やす
宴,よし
延,すけ
延,すすむ
延,ただし
延,なが
延,のぶ
延,のぶる
援,すけ
演,のぶ
演,ひろ
演,ひろし
燕,てる
燕,なる
燕,やす
燕,よし
猿,さる
縁,まさ
縁,むね
縁,やす
縁,ゆか
縁,よし
縁,より
艶,おお
艶,つや
艶,もろ
艶,よし
苑,その
遠,とお
塩,しお
央,あきら
央,ちか
央,てる
央,なか
央,なかば
央,ひさ
央,ひさし
央,ひろ
央,ひろし
奥,うち
奥,おき
奥,おく
奥,すみ
奥,ふか
奥,むら
往,なり
往,ひさ
往,もち
往,ゆき
往,よし
応,かず
応,たか
応,のぶ
応,のり
応,まさ
押,おし
旺,あきら
横,み
横,よこ
王,き
王,きみ
王,たか
王,わ
王,わか
翁,おい
翁,おき
翁,おきな
翁,とし
翁,ひと
黄,かつみ
黄,き
岡,おか
沖,おき
沖,なか
沖,ふかし
荻,おぎ
億,はかる
億,やす
屋,いえ
屋,や
憶,ぞう
乙,お
乙,おと
乙,き
乙,くに
乙,たか
乙,つぎ
乙,つぐ
乙,と
乙,とどむ
恩,おき
恩,めぐみ
温,あつ
温,あつし
温,いろ
温,すなお
温,ただす
温,つつむ
温,なが
温,ならう
温,のどか
温,はる
温,まさ
温,みつ
温,やす
温,ゆたか
温,よし
穏,しず
穏,とし
穏,やす
穏,やすき
音,お
音,おと
音,と
音,なり
音,ね
下,し
下,じ
下,した
下,しも
下,もと
化,のり
何,いず
何,なに
佳,よし
可,あり
可,とき
可,よく
可,よし
可,より
嘉,ひろ
嘉,よし
嘉,よしみ
嘉,よみし
夏,なつ
家,いえ
家,え
家,お
家,や
家,やか
科,しな
果,あきら
果,はた
果,はたす
果,まさる
架,みつ
歌,うた
河,かわ
火,ひ
火,ほ
禍,まが
禾,いね
禾,のぎ
禾,ひいず
禾,ひで
稼,たか
稼,たね
箇,かず
箇,とも
花,はな
花,はる
花,もと
荷,もち
華,は
華,はな
華,はる
貨,たか
霞,かすみ
蚊,か
牙,かび
芽,め
芽,めい
賀,いわう
賀,しげ
賀,のり
賀,ます
賀,よし
賀,より
雅,ただ
雅,ただし
雅,つね
雅,なり
雅,のり
雅,ひとし
雅,まさ
雅,まさし
雅,まさり
雅,まさる
雅,みやび
雅,もと
駕,のり
介,あき
介,かたし
介,すけ
介,たすく
介,ゆき
介,よし
会,あい
会,あう
会,かず
会,さだ
会,はる
会,もち
解,さとる
解,とき
解,ひろ
壊,つち
廻,のり
快,はや
快,やす
快,よし
怪,やす
怪,よし
恢,ひろ
懐,かぬ
懐,かね
懐,きたす
懐,たか
懐,ちか
懐,つね
懐,もち
懐,やす
改,あら
魁,いさお
魁,いさむ
魁,つとむ
魁,はじめ
海,あま
海,うな
海,うみ
海,み
灰,はい
界,さかい
皆,とも
皆,み
皆,みち
皆,みな
開,さく
開,はる
開,はるき
開,ひら
開,ひらかす
開,ひらき
開,ひらく
階,とも
階,はし
階,より
貝,かい
凱,たのし
凱,とき
凱,よし
外,そと
外,と
外,との
外,ひろ
外,ほか
概,むね
該,かた
該,かぬ
該,かね
該,もり
馨,か
馨,かおり
馨,かおる
馨,きよ
馨,よし
垣,かき
垣,たか
垣,はん
柿,かき
各,まさ
拡,ひろ
拡,ひろし
拡,ひろむ
格,いたる
格,きわめ
格,ただ
格,ただし
格,ただす
格,つとむ
格,のり
格,まさ
確,あきら
確,かた
確,かたし
確,たしか
穫,え
穫,みのる
覚,あき
覚,あきら
覚,さだ
覚,さと
覚,さとし
覚,さとる
覚,ただ
覚,ただし
覚,よし
角,かど
角,すみ
角,つぬ
角,つの
角,ふさ
角,み
較,あつ
較,とお
較,なお
郭,ひろ
閣,はる
学,あきら
学,さと
学,さとる
学,さね
学,たか
学,のり
学,ひさ
学,まなぶ
学,みち
岳,おか
岳,たか
岳,たかし
楽,ささ
楽,たのし
楽,もと
楽,よし
額,ぬか
梶,かじ
梶,こずえ
潟,かた
割,さき
活,いく
葛,かず
葛,かつら
葛,かど
葛,くず
葛,さち
葛,つら
葛,ふじ
且,かつ
叶,かない
叶,かのう
叶,やす
樺,かば
株,もと
株,より
鎌,かた
鎌,かね
鎌,かま
鴨,かも
鴨,まさ
茅,かや
茅,ち
萱,かや
萱,ただ
萱,まさ
乾,きみ
乾,すすむ
乾,たけし
乾,つとむ
乾,ふ
侃,あきら
侃,すなお
侃,ただ
侃,ただし
侃,つよし
侃,なお
侃,やす
寒,さむ
寒,ふゆ
勘,さだ
勘,さだむ
勘,のり
勧,すすむ
勧,ゆき
巻,まき
巻,まる
堪,たえ
堪,ひで
完,さだ
完,たもつ
完,なる
完,ひろ
完,ひろし
完,まさ
完,また
完,またし
完,みつ
完,ゆたか
官,おさ
官,きみ
官,これ
官,たか
官,のり
官,ひろ
寛,ちか
寛,とお
寛,とも
寛,のぶ
寛,のり
寛,ひと
寛,ひろ
寛,ひろし
寛,ゆたか
寛,よし
干,たく
干,たて
干,ほす
干,もと
幹,えだ
幹,から
幹,き
幹,くる
幹,たかし
幹,たる
幹,つね
幹,つよし
幹,とし
幹,とも
幹,まさ
幹,み
幹,みき
幹,もと
幹,もとき
幹,よし
幹,よみ
幹,より
慣,みな
換,やす
敢,いさむ
敢,いさみ
款,すけ
款,ただ
款,まさ
款,ゆく
款,よし
歓,よし
漢,あや
漢,かみ
漢,くに
漢,なら
環,たま
環,たまき
環,わ
甘,かい
甘,よし
監,あき
監,あきら
監,かね
監,ただ
監,てる
監,み
看,あきら
看,み
看,みつ
看,みる
管,うち
管,すげ
簡,あきら
簡,ひろ
簡,ふみ
簡,やすし
緩,のぶ
緩,ひろ
緩,ふさ
緩,やす
缶,べ
観,あき
観,しめす
観,まろ
観,み
観,みる
貫,つら
貫,とおる
貫,ぬき
鑑,あき
鑑,あきら
鑑,かた
鑑,かね
鑑,しげ
鑑,のり
鑑,み
鑑,みる
間,ちか
間,はし
間,ま
閑,しず
閑,のり
閑,もり
閑,やす
閑,より
関,せき
関,とおる
関,み
関,もり
館,たて
丸,まる
丸,まろ
含,もち
岸,きし
巌,いわ
巌,いわお
巌,お
巌,みち
巌,みね
巌,よし
玩,よし
眼,め
岩,いわ
岩,いわお
岩,かた
岩,せき
岩,たか
企,もと
喜,このむ
喜,たのし
喜,とし
喜,のぶ
喜,はる
喜,ひさ
喜,ゆき
喜,よし
器,かた
基,のり
基,はじむ
基,はじめ
基,もと
基,もとい
奇,あや
奇,くし
奇,くす
奇,より
嬉,よし
寄,より
岐,ふなど
岐,みち
希,まれ
幾,いく
幾,おき
幾,ちか
幾,ちかし
幾,のり
幾,ふさ
旗,たか
旗,はた
期,さね
期,とき
期,とし
棄,すて
機,のり
機,はた
帰,よと
帰,より
毅,かた
毅,こわし
毅,たか
毅,たけ
毅,たけし
毅,つよ
毅,つよき
毅,つよし
毅,とし
毅,のり
毅,はた
毅,はたす
気,おき
畿,ちか
季,すえ
季,とき
季,とし
季,ひで
季,みのる
稀,まれ
紀,あき
紀,おさ
紀,おさむ
紀,かず
紀,かなめ
紀,こと
紀,しるす
紀,すみ
紀,ただ
紀,ただし
紀,つぐ
紀,つな
紀,とし
紀,のり
紀,はじめ
紀,もと
紀,よし
徽,よし
規,ただ
規,ただし
規,ただす
規,ちか
規,なり
規,のり
規,み
規,もと
記,しるす
記,とし
記,なり
記,のり
記,ふさ
記,ふみ
記,よし
貴,あつ
貴,あて
貴,たか
貴,たかし
貴,たけ
貴,むち
貴,よし
起,おき
起,おこす
起,かず
起,たつ
起,ゆき
軌,のり
輝,あきら
輝,かがやき
輝,てる
輝,ひかる
騎,のり
鬼,おに
亀,あま
亀,あや
亀,かめ
亀,すすむ
亀,ながし
亀,ひさ
亀,ひさし
儀,きたる
儀,ただし
儀,のり
儀,よし
宜,き
宜,すみ
宜,たか
宜,なり
宜,のぶ
宜,のり
宜,のる
宜,まさ
宜,やす
宜,よし
宜,よろし
技,あや
技,わざ
祇,けさ
祇,つみ
祇,のり
祇,まさ
祇,もと
義,あき
義,いさ
義,しげ
義,たけ
義,ただし
義,ちか
義,つとむ
義,とも
義,のり
義,みち
義,よし
義,より
誼,こと
誼,よし
議,かた
議,のり
菊,あき
菊,ひ
鞠,つぐ
鞠,まり
鞠,みつ
吉,さち
吉,とみ
吉,はじめ
吉,よ
吉,よし
橘,たちばな
砧,きぬ
杵,き
杵,きね
客,ひと
客,まさ
脚,あし
脚,し
逆,さか
丘,お
丘,おか
丘,たか
丘,たかし
久,つね
久,なが
久,ひこ
久,ひさ
久,ひさし
休,たね
休,のぶ
休,やす
休,やすむ
休,よし
及,いたる
及,しき
及,たか
及,ちか
宮,いえ
宮,たか
宮,みや
弓,ゆ
弓,ゆみ
救,すけ
救,たすく
救,なり
救,ひら
救,やす
朽,え
求,ひで
求,まさ
求,もと
求,もとむ
汲,くみ
泣,なき
球,たま
究,きわみ
究,きわむ
究,さた
究,さだ
究,すみ
究,み
窮,きわむ
窮,み
級,しな
糾,ただ
糾,ただし
糾,ただす
給,たり
給,はる
旧,ひさ
旧,ふさ
旧,ふる
旧,もと
牛,うし
牛,とし
去,さる
去,なる
居,い
居,おき
居,おり
居,さや
居,すえ
居,やす
居,より
巨,お
巨,おお
巨,なお
巨,まさ
巨,み
拠,より
挙,しげ
挙,たか
挙,たつ
挙,ひら
許,もと
許,ゆく
魚,いお
魚,うお
魚,お
魚,な
亨,あき
亨,あきら
亨,すすむ
亨,ちか
亨,とおる
亨,とし
亨,なお
亨,なが
亨,なり
亨,みち
亨,ゆき
享,あきら
享,すすむ
享,たか
享,つら
享,みち
享,ゆき
京,あつ
京,おさむ
京,たかし
京,ちか
京,ひろし
供,とも
競,きそう
共,たか
共,とも
協,かのう
協,やす
匡,たすく
匡,ただ
匡,ただし
匡,ただす
匡,まさ
匡,まさし
卿,あき
卿,あきら
卿,のり
喬,すけ
喬,たか
喬,たかし
喬,ただ
喬,のぶ
喬,もと
境,さかい
強,あつ
強,かつ
強,こわ
強,すね
強,たけ
強,つとむ
強,つよ
強,つよし
恭,うや
恭,すみ
恭,たか
恭,たかし
恭,ただ
恭,ただし
恭,ちか
恭,つか
恭,のり
恭,みつ
恭,やす
恭,やすし
恭,ゆき
恭,よし
挟,さし
挟,もち
教,おしえ
教,かず
教,こ
教,たか
教,なり
教,のり
教,みち
教,ゆき
橋,たか
橋,はし
狂,よし
狭,さ
矯,いさみ
矯,たけし
矯,ただ
胸,むね
興,おき
興,き
興,さかり
興,さかん
興,さき
興,とも
興,ふか
興,ふさ
郷,あき
郷,あきら
郷,さと
郷,のり
鏡,あき
鏡,あきら
鏡,かがみ
鏡,かね
鏡,とし
鏡,み
響,おと
響,ひびき
驚,とし
仰,たか
仰,もち
凝,こおる
凝,こり
尭,あき
尭,たか
尭,たかし
尭,のり
暁,あかつき
暁,あき
暁,あきら
暁,あけ
暁,さとし
暁,さとる
暁,とき
暁,とし
業,おき
業,かず
業,くに
業,なり
業,のぶ
業,のり
業,はじめ
業,ふさ
局,ちか
局,つぼね
曲,くま
曲,のり
極,きわ
極,きわむ
極,きわめ
極,なか
極,むね
玉,きよ
玉,たま
桐,きり
桐,ひさ
僅,よし
勤,いそ
勤,いそし
勤,つとむ
勤,とし
勤,のり
均,お
均,ただ
均,なお
均,なり
均,ひとし
均,ひら
均,まさ
錦,かね
錦,にしき
斤,のり
欣,やすし
欣,よし
欽,うや
欽,こく
欽,ただ
欽,ひとし
欽,まこと
欽,よし
琴,こと
芹,せり
襟,ひも
謹,すすむ
謹,ちか
謹,なり
謹,のり
謹,もり
近,ちか
近,もと
金,か
金,かな
金,かね
吟,あきら
吟,おと
吟,こえ
銀,かね
銀,しろがね
九,かず
九,ここ
九,ただ
九,ちか
九,ちかし
九,ひさ
玖,き
玖,く
玖,たま
玖,ひさ
矩,かど
矩,かね
矩,ただし
矩,ただす
矩,つね
矩,のり
駒,こま
具,とも
虞,すけ
虞,もち
虞,やす
空,たか
偶,とも
偶,ます
遇,あい
遇,あう
遇,はる
隅,すみ
隅,ふさ
串,くし
櫛,きよ
櫛,くし
釧,たまき
屑,きよ
沓,かず
熊,かげ
熊,くま
桑,くわ
勲,いさ
勲,いさお
勲,いそ
勲,こと
勲,つとむ
勲,ひろ
君,きみ
君,きん
君,こ
君,すえ
君,なお
君,よし
薫,かお
薫,かおる
薫,くる
薫,しげ
薫,ただ
薫,つとむ
薫,にお
薫,のぶ
薫,ひで
薫,ふさ
薫,まさ
薫,ゆき
訓,くに
訓,しる
訓,とき
訓,のり
訓,みち
群,とも
群,むら
群,むれ
群,もと
軍,いく
軍,いくさ
軍,いさ
軍,すすむ
軍,むら
軍,むれ
郡,くに
郡,さと
郡,とも
袈,けさ
係,たえ
傾,かたぶ
刑,のり
兄,あに
兄,え
兄,えだ
兄,これ
兄,さき
兄,しげ
兄,ただ
兄,ね
兄,よし
啓,あきら
啓,さとし
啓,はじめ
啓,はる
啓,ひら
啓,ひらき
啓,ひらく
啓,ひろ
啓,ひろし
啓,ひろむ
啓,よし
圭,か
圭,かど
圭,きよ
圭,きよし
圭,たま
圭,よし
契,ちぎる
契,ひさ
形,あれ
形,かた
形,すえ
形,なり
形,み
形,より
径,みち
恵,あや
恵,さと
恵,さとし
恵,しげ
恵,とし
恵,めぐみ
恵,めぐむ
恵,やす
恵,よし
慶,ちか
慶,のり
慶,みち
慶,やす
慶,よし
慧,あきら
慧,さと
慧,さとし
慧,さとる
憩,やす
掲,なが
敬,あき
敬,あつ
敬,いつ
敬,うや
敬,かた
敬,さとし
敬,たか
敬,たかし
敬,とし
敬,のり
敬,はや
敬,ひろ
敬,ひろし
敬,ゆき
敬,よし
景,あきら
景,かげ
景,ひろ
渓,たに
稽,とき
稽,のり
稽,よし
系,いと
系,つぎ
系,つら
系,とし
経,おさむ
経,つね
経,のぶ
経,のり
経,ふ
経,ふる
継,つぎ
継,つぐ
継,つね
継,ひで
茎,くき
計,かず
計,かずえ
計,はかる
詣,ゆき
軽,かる
軽,とし
芸,き
芸,ぎ
芸,すけ
芸,のり
芸,まさ
鯨,くじら
傑,すぐる
傑,たかし
傑,たけし
決,さだ
潔,きよ
潔,きよし
潔,ゆき
潔,よし
穴,これ
穴,な
結,かた
結,ひとし
結,ゆい
血,ち
月,つき
月,つぎ
件,かず
件,なか
件,わか
健,かつ
健,きよ
健,きよし
健,たけ
健,たけし
健,たける
健,たつ
健,たて
健,たる
健,つよ
健,つよし
健,とし
健,まさる
健,やす
兼,かず
兼,かた
兼,かぬ
兼,かね
兼,とも
剣,あきら
剣,つとむ
剣,つるぎ
剣,はや
喧,はる
堅,かき
堅,かた
堅,かたし
堅,すえ
堅,たか
堅,つよし
堅,み
堅,よし
建,たけ
建,たけし
建,たける
建,たつ
建,たつる
建,たて
憲,あきら
憲,かず
憲,さだ
憲,ただし
憲,ただす
憲,とし
憲,のり
懸,とお
懸,はる
拳,かたし
拳,つとむ
権,のり
権,よし
牽,くる
牽,とき
牽,とし
牽,ひき
牽,ひた
献,たけ
研,あき
研,きし
研,きよ
研,よし
絹,きぬ
絹,まさ
県,あがた
県,さと
県,むら
見,あき
見,あきら
見,ちか
見,み
謙,あき
謙,かた
謙,かね
謙,しず
謙,のり
謙,ゆずる
謙,よし
賢,かた
賢,かつ
賢,さか
賢,さかし
賢,さと
賢,さとし
賢,さとる
賢,すぐる
賢,たか
賢,ただ
賢,とし
賢,まさ
賢,まさる
賢,ます
賢,やす
軒,のき
鍵,かぎ
険,たか
険,のり
顕,あき
顕,あきら
顕,たか
顕,てる
験,とし
元,あさ
